Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,field
56,Qualitative Research in Psychology,7490,1.69,0.00146,multidisciplinary
57,LEGAL AND CRIMINOLOGICAL PSYCHOLOGY,793,1.667,7.3e-4,multidisciplinary
57,PSYCHOLOGY PUBLIC POLICY AND LAW,1476,1.667,0.00207,multidisciplinary
59,SCANDINAVIAN JOURNAL OF PSYCHOLOGY,2755,1.57,0.00284,multidisciplinary
60,NEW IDEAS IN PSYCHOLOGY,718,1.55,9.4e-4,multidisciplinary
61,JOURNAL OF PSYCHOLOGY,3325,1.548,0.00191,multidisciplinary
62,PSYCHOLOGICAL REPORTS,6317,1.535,0.00244,multidisciplinary
63,Zeitschrift fur Psychologie-Journal of Psychology,792,1.528,0.00118,multidisciplinary
64,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,5866,1.509,0.0035,multidisciplinary
65,AUSTRALIAN JOURNAL OF PSYCHOLOGY,1050,1.486,9.8e-4,multidisciplinary
66,Nordic Psychology,231,1.462,3.7e-4,multidisciplinary
67,PROFESSIONAL PSYCHOLOGY-RESEARCH AND PRACTICE,3353,1.461,0.00204,multidisciplinary
68,AUSTRALIAN PSYCHOLOGIST,1245,1.458,0.00136,multidisciplinary
69,DISCOURSE & SOCIETY,2132,1.39,0.00139,multidisciplinary
70,DEATH STUDIES,2091,1.361,0.00223,multidisciplinary
71,Cyberpsychology-Journal of Psychosocial Research on Cyberspace,387,1.354,8.7e-4,multidisciplinary
72,Journal of Media Psychology-Theories Methods and Applications,412,1.351,7.1e-4,multidisciplinary
73,OMEGA-JOURNAL OF DEATH AND DYING,1118,1.347,7.1e-4,multidisciplinary
74,Anales de Psicologia,1618,1.346,0.00175,multidisciplinary
74,JOURNAL OF COMPARATIVE PSYCHOLOGY,2744,1.346,0.00153,multidisciplinary
76,PSYCHOLOGISCHE RUNDSCHAU,251,1.318,2.1e-4,multidisciplinary
77,THEORY & PSYCHOLOGY,1143,1.309,9.5e-4,multidisciplinary
78,Psychology & Sexuality,386,1.292,8.1e-4,multidisciplinary
79,CREATIVITY RESEARCH JOURNAL,2659,1.289,0.00154,multidisciplinary
80,INTERNATIONAL JOURNAL OF PSYCHOLOGY,2752,1.255,0.00286,multidisciplinary
81,Journal of Black Psychology,1013,1.246,0.00137,multidisciplinary
82,PSYCHOLOGY CRIME & LAW,1429,1.193,0.00177,multidisciplinary
83,International Review of Research in Developmental Disabilities,147,1.192,3.5e-4,multidisciplinary
84,JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY,1069,1.188,8.2e-4,multidisciplinary
85,ETHICS & BEHAVIOR,802,1.12,6e-4,multidisciplinary
86,JOURNAL OF COMMUNITY PSYCHOLOGY,3164,1.106,0.00169,multidisciplinary
87,ETHOS,1036,1.078,9.6e-4,multidisciplinary
88,TEACHING OF PSYCHOLOGY,1201,1.053,8.5e-4,multidisciplinary
89,Asian American Journal of Psychology,516,1.051,9.7e-4,multidisciplinary
90,JAPANESE PSYCHOLOGICAL RESEARCH,523,1.035,7.1e-4,multidisciplinary
91,PSYCHOLOGICAL RECORD,1379,1.01,8.2e-4,multidisciplinary
92,Journal of Neuroscience Psychology and Economics,297,1,6.4e-4,multidisciplinary
93,Journal of Latina-o Psychology,260,0.978,9.4e-4,multidisciplinary
94,REVISTA LATINOAMERICANA DE PSICOLOGIA,511,0.975,2.9e-4,multidisciplinary
95,Spanish Journal of Psychology,1444,0.972,0.00173,multidisciplinary
96,LATERALITY,901,0.938,7.8e-4,multidisciplinary
97,Psicologia Educativa,180,0.933,4e-4,multidisciplinary
98,JOURNAL OF GENETIC PSYCHOLOGY,1180,0.923,6.2e-4,multidisciplinary
99,Journal of Forensic Psychology Practice,237,0.921,3.5e-4,multidisciplinary
100,Psicologia-Reflexao e Critica,541,0.909,5.5e-4,multidisciplinary
101,BioPsychoSocial Medicine,423,0.904,4.8e-4,multidisciplinary
102,CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT,1302,0.9,9.5e-4,multidisciplinary
103,SOUTH AFRICAN JOURNAL OF PSYCHOLOGY,785,0.898,6.2e-4,multidisciplinary
104,ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE,303,0.85,2.6e-4,multidisciplinary
105,History of Psychology,260,0.833,7.1e-4,multidisciplinary
106,International Journal for the Psychology of Religion,730,0.824,5.2e-4,multidisciplinary
107,MILITARY PSYCHOLOGY,872,0.819,0.00107,multidisciplinary
108,AMERICAN JOURNAL OF PSYCHOLOGY,2637,0.803,6.9e-4,multidisciplinary
109,Journal of Pacific Rim Psychology,137,0.8,2.5e-4,multidisciplinary
110,PHILOSOPHICAL PSYCHOLOGY,867,0.785,0.00102,multidisciplinary
110,PsyCh Journal,264,0.785,7.4e-4,multidisciplinary
112,INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,1122,0.779,5.6e-4,multidisciplinary
113,DREAMING,417,0.776,3e-4,multidisciplinary
114,SWISS JOURNAL OF PSYCHOLOGY,411,0.774,3.9e-4,multidisciplinary
115,Empirical Studies of the Arts,310,0.773,2.8e-4,multidisciplinary
116,International Journal of Psychological Research,452,0.731,1.9e-4,multidisciplinary
117,HUMOR-INTERNATIONAL JOURNAL OF HUMOR RESEARCH,674,0.711,4.6e-4,multidisciplinary
118,Anuario De Psicologia Juridica,85,0.696,1e-4,multidisciplinary
119,HISPANIC JOURNAL OF BEHAVIORAL SCIENCES,1422,0.695,8.1e-4,multidisciplinary
120,Psychiatry Psychology and Law,641,0.664,7.9e-4,multidisciplinary
121,PSYCHOLOGICA BELGICA,450,0.61,5.1e-4,multidisciplinary
122,PSIKHOLOGICHESKII ZHURNAL,502,0.604,7e-5,multidisciplinary
123,REVISTA MEXICANA DE PSICOLOGIA,185,0.571,6e-5,multidisciplinary
124,STUDIA PSYCHOLOGICA,311,0.537,2.5e-4,multidisciplinary
125,Estudios de Psicologia,196,0.527,1.6e-4,multidisciplinary
126,Archive for the Psychology of Religion-Archiv fur Religionspsychologie,176,0.517,1.6e-4,multidisciplinary
126,Universitas Psychologica,810,0.517,5.8e-4,multidisciplinary
128,ANNEE PSYCHOLOGIQUE,379,0.5,3.2e-4,multidisciplinary
129,CESKOSLOVENSKA PSYCHOLOGIE,198,0.478,1.1e-4,multidisciplinary
130,Journal of Psychology in Africa,509,0.453,6e-4,multidisciplinary
131,JOURNAL OF PSYCHOLOGY AND THEOLOGY,487,0.435,2.8e-4,multidisciplinary
132,Psychologie Francaise,165,0.42,2.2e-4,multidisciplinary
133,JOURNAL OF GENERAL PSYCHOLOGY,1207,0.409,4.5e-4,multidisciplinary
134,WOMEN & THERAPY,382,0.388,2.4e-4,multidisciplinary
135,Psihologija,189,0.333,2.6e-4,multidisciplinary
136,Pratiques Psychologiques,120,0.327,1.3e-4,multidisciplinary
137,TURK PSIKOLOJI DERGISI,278,0.308,4e-5,multidisciplinary
138,PSYCHOLOGIST,615,0.25,5.1e-4,multidisciplinary
Copyright © 2020 Clarivate Analytics,NA,NA,NA,NA,multidisciplinary
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",NA,NA,NA,NA,multidisciplinary
1,Annual Review of Clinical Psychology,6126,13.692,0.00957,clinical
2,CLINICAL PSYCHOLOGY REVIEW,17220,10.255,0.02072,clinical
3,JOURNAL OF ABNORMAL PSYCHOLOGY,16003,6.484,0.01417,clinical
4,PSYCHOLOGICAL MEDICINE,26702,5.813,0.03935,clinical
5,CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE,3680,5.541,0.00276,clinical
6,Clinical Psychological Science,2599,5.415,0.0111,clinical
7,NEUROPSYCHOLOGY REVIEW,3114,4.84,0.00405,clinical
8,DEPRESSION AND ANXIETY,9355,4.702,0.01386,clinical
9,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,23082,4.632,0.01405,clinical
10,BEHAVIOUR RESEARCH AND THERAPY,18086,4.5,0.01468,clinical
11,COGNITIVE BEHAVIOUR THERAPY,1686,4.413,0.00313,clinical
12,International Journal of Clinical and Health Psychology,1247,4.25,0.00183,clinical
13,JOURNAL OF CLINICAL PSYCHIATRY,18652,4.204,0.01853,clinical
14,ASSESSMENT,5131,3.706,0.00756,clinical
15,Health Psychology Review,2008,3.705,0.00536,clinical
16,JOURNAL OF SEX RESEARCH,5076,3.683,0.00817,clinical
17,INTERNATIONAL JOURNAL OF EATING DISORDERS,9613,3.668,0.01075,clinical
18,JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,5724,3.656,0.00893,clinical
19,ADDICTIVE BEHAVIORS,13899,3.645,0.02295,clinical
20,Mindfulness,4006,3.581,0.0085,clinical
21,EUROPEAN EATING DISORDERS REVIEW,2622,3.56,0.0046,clinical
22,Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,996,3.513,0.00272,clinical
23,European Journal of Psychotraumatology,1987,3.478,0.00494,clinical
24,CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,2850,3.468,0.0028,clinical
25,Personality Disorders-Theory Research and Treatment,1635,3.421,0.00452,clinical
26,International Journal of Transgenderism,957,3.369,0.00119,clinical
27,BEHAVIOR ANALYST,686,3.25,3.9e-4,clinical
28,BEHAVIOR THERAPY,5758,3.243,0.00632,clinical
29,PSYCHOTHERAPY,3204,3.191,0.00319,clinical
30,ARCHIVES OF SEXUAL BEHAVIOR,7470,3.131,0.01218,clinical
31,JOURNAL OF SUBSTANCE ABUSE TREATMENT,5696,3.083,0.01,clinical
32,JOURNAL OF ANXIETY DISORDERS,7130,3.079,0.00939,clinical
33,HEALTH PSYCHOLOGY,11888,3.056,0.01548,clinical
34,JOURNAL OF BEHAVIORAL MEDICINE,5255,2.988,0.00714,clinical
35,PSYCHOTHERAPY RESEARCH,2958,2.984,0.00361,clinical
36,INTERNATIONAL PSYCHOGERIATRICS,7341,2.94,0.00992,clinical
37,AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,2780,2.925,0.00425,clinical
38,BRITISH JOURNAL OF HEALTH PSYCHOLOGY,2980,2.917,0.00369,clinical
39,JOURNAL OF ABNORMAL CHILD PSYCHOLOGY,9261,2.864,0.01075,clinical
40,Journal of Eating Disorders,795,2.828,0.00219,clinical
41,PSYCHOLOGICAL ASSESSMENT,12296,2.825,0.01438,clinical
42,Journal of Mental Health,2482,2.703,0.00293,clinical
43,JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS,1258,2.683,0.00135,clinical
44,PSYCHOLOGY AND PSYCHOTHERAPY-THEORY RESEARCH AND PRACTICE,1290,2.645,0.00166,clinical
45,COGNITIVE THERAPY AND RESEARCH,5069,2.603,0.00468,clinical
46,Psychological Trauma-Theory Research Practice and Policy,2371,2.595,0.00565,clinical
47,BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,3738,2.541,0.00202,clinical
48,NEUROPSYCHOLOGY,5844,2.506,0.00623,clinical
49,JOURNAL OF HEALTH PSYCHOLOGY,5488,2.503,0.00773,clinical
50,CLINICAL PSYCHOLOGY & PSYCHOTHERAPY,3087,2.477,0.0039,clinical
51,Psychology of Violence,1237,2.381,0.00351,clinical
52,CLINICAL NEUROPSYCHOLOGIST,3567,2.232,0.00344,clinical
53,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,2673,2.217,0.003,clinical
54,JOURNAL OF PERSONALITY ASSESSMENT,8074,2.185,0.00409,clinical
55,FAMILY PROCESS,2559,2.175,0.00239,clinical
56,Eating Behaviors,3176,2.156,0.00501,clinical
57,ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,4705,2.154,0.00418,clinical
58,INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,2724,2.139,0.00366,clinical
59,JOURNAL OF CLINICAL PSYCHOLOGY,8753,2.138,0.00625,clinical
60,SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,1337,2.13,0.0014,clinical
61,BEHAVIOR MODIFICATION,2246,2.105,0.00199,clinical
62,COGNITIVE AND BEHAVIORAL PRACTICE,1837,2.096,0.00229,clinical
