Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
EVOLUTION AND HUMAN BEHAVIOR,1090-5138,1879-0607,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",English,"Psychology, Biological | Social Sciences, Biomedical"
EVOLUTIONARY PSYCHOLOGY,1474-7049,1474-7049,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Experimental"
EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,1064-1297,1936-2293,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Biological | Psychology, Clinical"
EXPERIMENTAL PSYCHOLOGY,1618-3169,2190-5142,HOGREFE & HUBER PUBLISHERS,"MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",English,"Psychology, Experimental"
FAMILY PROCESS,0014-7370,1545-5300,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Clinical | Family Studies"
FEMINISM & PSYCHOLOGY,0959-3535,1461-7161,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Multidisciplinary | Women'S Studies"
FIRST LANGUAGE,0142-7237,1740-2344,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Developmental | Linguistics"
FOCUS ON AUTISM AND OTHER DEVELOPMENTAL DISABILITIES,1088-3576,1538-4829,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Developmental | Rehabilitation | Education, Special"
FORUM DER PSYCHOANALYSE,0178-7667,1437-0751,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",Multi-Language,"Psychology, Psychoanalysis"
FRONTIERS IN PSYCHOLOGY,1664-1078,1664-1078,FRONTIERS MEDIA SA,"AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, SWITZERLAND, CH-1015",English,"Psychology, Multidisciplinary"
GEDRAG & ORGANISATIE,0921-5077,1875-7235,UITGEVERIJ LEMMA B V,"POSTBUS 85576, DEN HAAG, NETHERLANDS, 2508 CG",Dutch,"Psychology, Social | Psychology, Applied"
GERMAN JOURNAL OF HUMAN RESOURCE MANAGEMENT-ZEITSCHRIFT FUR PERSONALFORSCHUNG,2397-0022,2397-0030,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",Multi-Language,"Management | Psychology, Applied"
GIFTED CHILD QUARTERLY,0016-9862,1934-9041,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Educational | Education, Special"
GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE,1089-2699,1930-7802,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Social"
GROUP & ORGANIZATION MANAGEMENT,1059-6011,1552-3993,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Management | Psychology, Applied"
GROUP PROCESSES & INTERGROUP RELATIONS,1368-4302,1461-7188,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Social"
GRUPPENPSYCHOTHERAPIE UND GRUPPENDYNAMIK,0017-4947,2196-7989,VANDENHOECK & RUPRECHT GMBH & CO KG,"VIENNA UNIV PRESS, ROBERT BOSCH BREITE 6, GOTTINGEN, GERMANY, D-37079",Multi-Language,"Psychology, Clinical"
HEALTH PSYCHOLOGY,0278-6133,1930-7810,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Clinical"
HEALTH PSYCHOLOGY REVIEW,1743-7199,1743-7202,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical"
HIGH ABILITY STUDIES,1359-8139,1469-834X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Education, Special | Psychology, Educational"
HISPANIC JOURNAL OF BEHAVIORAL SCIENCES,0739-9863,1552-6364,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Multidisciplinary"
HISTORY OF PSYCHOLOGY,1093-4510,1939-0610,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Multidisciplinary | History Of Social Sciences"
HUMAN DEVELOPMENT,0018-716X,1423-0054,KARGER,"ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009",English,"Psychology, Developmental"
HUMAN FACTORS,0018-7208,1547-8181,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Applied | Ergonomics"
HUMAN MOVEMENT SCIENCE,0167-9457,1872-7646,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",English,"Psychology, Experimental"
HUMAN PERFORMANCE,0895-9285,1532-7043,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Applied"
